"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"FakeRestApi","AuthorsApi","AuthorsApiPut","5","0","30","0","0"
"FakeRestApi","BooksApi","BooksApiPost","3","0","37","0","0"
"FakeRestApi","AuthorsApi","AuthorsApiDelete","3","0","4","0","0"
"FakeRestApi","AuthorsApi","AuthorsApiPost","2","0","27","0","0"
"FakeRestApi","BooksApi","BooksApiPut","6","0","40","0","0"
"FakeRestApi","BooksApi","BooksApiGetById","0","0","7","0","0"
"FakeRestApi","BooksApi","BooksApiDelete","3","0","4","0","0"
"FakeRestApi","AuthorsApi","AuthorsApiGetById","0","0","7","0","0"
"FakeRestApi","AuthorsApi","AuthorsApiGetAll","0","0","1","0","0"
"FakeRestApi","BooksApi","BooksApiGetAll","0","0","1","0","0"
